id,Слово,Перевод,Тип,Курс,Урок
111,window,окно,İSİMLER,A1,FILE2
112,board,доска,İSİMLER,A1,FILE2
113,alphabet,алфавит,İSİMLER,A1,FILE2
114,letter,"буква, письмо",İSİMLER,A1,FILE2
115,key,ключ,İSİMLER,A1,FILE3
116,wallet,бумажник,İSİMLER,A1,FILE3
117,umbrella,зонт,İSİMLER,A1,FILE3
118,watch,часы (наручные),İSİMLER,A1,FILE3
119,ticket,билет,İSİMLER,A1,FILE3
120,map,карта,İSİMLER,A1,FILE3
121,passport,паспорт,İSİMLER,A1,FILE3
122,camera,фотоаппарат,İSİMLER,A1,FILE3
123,laptop,ноутбук,İSİMLER,A1,FILE3
124,phone charger,зарядка для телефона,İSİMLER,A1,FILE3
125,glasses,очки,İSİMLER,A1,FILE3
126,hat,шляпа,İSİMLER,A1,FILE3
127,souvenir,сувенир,İSİMLER,A1,FILE3
128,postcard,открытка,İSİMLER,A1,FILE3
129,gift,подарок,İSİMLER,A1,FILE3
130,this,этот,ZAMİRLER,A1,FILE3
131,that,тот,ZAMİRLER,A1,FILE3
132,these,эти,ZAMİRLER,A1,FILE3
133,those,те,ZAMİRLER,A1,FILE3
134,a,неопределённый артикль,DİĞER KELİMELER,A1,FILE3
135,an,неопределённый артикль (перед гласной),DİĞER KELİMELER,A1,FILE3
136,the,определённый артикль,DİĞER KELİMELER,A1,FILE3
137,singular,единственное число,İSİMLER,A1,FILE3
138,plural,множественное число,İSİMLER,A1,FILE3
139,thing,вещь,İSİMLER,A1,FILE3
140,price,цена,İSİMLER,A1,FILE3
141,cheap,дешёвый,SIFATLAR,A1,FILE3
142,expensive,дорогой,SIFATLAR,A1,FILE3
143,how much,сколько (стоит),KALIP İFADELER,A1,FILE3
144,lunch,обед,İSİMLER,A1,FILE3
145,sandwich,сэндвич,İSİMLER,A1,FILE3
146,salad,салат,İSİMLER,A1,FILE3
147,juice,сок,İSİMLER,A1,FILE3
148,buy,покупать,FİİLLER,A1,FILE3
149,sell,продавать,FİİLLER,A1,FILE3
150,have,иметь,FİİLLER,A1,FILE3
151,need,нуждаться,FİİLLER,A1,FILE3
152,want,хотеть,FİİLLER,A1,FILE3
153,open,открывать,FİİLLER,A1,FILE3
154,close,закрывать,FİİLLER,A1,FILE3
155,look,смотреть,FİİLLER,A1,FILE3
156,listen,слушать,FİİLLER,A1,FILE3
157,read,читать,FİİLLER,A1,FILE3
158,write,писать,FİİLLER,A1,FILE3
159,speak,говорить,FİİLLER,A1,FILE3
160,family,семья,İSİMLER,A1,FILE4
161,mother,мама,İSİMLER,A1,FILE4
162,father,папа,İSİMLER,A1,FILE4
163,mum,мама,İSİMLER,A1,FILE4
164,dad,папа,İSİMLER,A1,FILE4
165,parent,родитель,İSİMLER,A1,FILE4
166,brother,брат,İSİMLER,A1,FILE4
167,sister,сестра,İSİMLER,A1,FILE4
168,son,сын,İSİMLER,A1,FILE4
169,daughter,дочь,İSİMLER,A1,FILE4
170,child,ребёнок,İSİMLER,A1,FILE4
171,children,дети,İSİMLER,A1,FILE4
172,husband,муж,İSİMLER,A1,FILE4
173,wife,жена,İSİMLER,A1,FILE4
174,grandfather,дедушка,İSİMLER,A1,FILE4
175,grandmother,бабушка,İSİMLER,A1,FILE4
176,uncle,дядя,İSİMLER,A1,FILE4
177,aunt,тётя,İSİMLER,A1,FILE4
178,cousin,двоюродный брат/сестра,İSİMLER,A1,FILE4
179,friend,друг,İSİMLER,A1,FILE4
180,boyfriend,парень,İSİMLER,A1,FILE4
181,girlfriend,девушка,İSİMLER,A1,FILE4
182,person,человек,İSİMLER,A1,FILE4
183,people,люди,İSİMLER,A1,FILE4
184,man,мужчина,İSİMLER,A1,FILE4
185,woman,женщина,İSİMLER,A1,FILE4
186,boy,мальчик,İSİMLER,A1,FILE4
187,girl,девочка,İSİMLER,A1,FILE4
188,car,машина,İSİMLER,A1,FILE4
189,colour,цвет,İSİMLER,A1,FILE4
190,red,красный,SIFATLAR,A1,FILE4
191,blue,синий,SIFATLAR,A1,FILE4
192,green,зелёный,SIFATLAR,A1,FILE4
193,yellow,жёлтый,SIFATLAR,A1,FILE4
194,black,чёрный,SIFATLAR,A1,FILE4
195,white,белый,SIFATLAR,A1,FILE4
196,brown,коричневый,SIFATLAR,A1,FILE4
197,grey,серый,SIFATLAR,A1,FILE4
198,orange,оранжевый,SIFATLAR,A1,FILE4
199,pink,розовый,SIFATLAR,A1,FILE4
200,big,большой,SIFATLAR,A1,FILE4
201,small,маленький,SIFATLAR,A1,FILE4
202,new,новый,SIFATLAR,A1,FILE4
203,old,старый,SIFATLAR,A1,FILE4
204,good,хороший,SIFATLAR,A1,FILE4
205,bad,плохой,SIFATLAR,A1,FILE4
206,nice,"приятный, милый",SIFATLAR,A1,FILE4
207,beautiful,красивый,SIFATLAR,A1,FILE4
208,fast,быстрый,SIFATLAR,A1,FILE4
209,slow,медленный,SIFATLAR,A1,FILE4
210,perfect,идеальный,SIFATLAR,A1,FILE4
211,breakfast,завтрак,İSİMLER,A1,FILE5
212,dinner,ужин,İSİMLER,A1,FILE5
213,meal,приём пищи,İSİMLER,A1,FILE5
214,food,еда,İSİMLER,A1,FILE5
215,drink,напиток; пить,İSİMLER,A1,FILE5
216,bread,хлеб,İSİMLER,A1,FILE5
217,butter,масло,İSİMLER,A1,FILE5
218,cheese,сыр,İSİMLER,A1,FILE5
219,egg,яйцо,İSİMLER,A1,FILE5
220,milk,молоко,İSİMLER,A1,FILE5
221,sugar,сахар,İSİMLER,A1,FILE5
222,fruit,фрукты,İSİMLER,A1,FILE5
223,apple,яблоко,İSİMLER,A1,FILE5
224,banana,банан,İSİMLER,A1,FILE5
225,vegetable,овощ,İSİMLER,A1,FILE5
226,tomato,помидор,İSİMLER,A1,FILE5
227,potato,картофель,İSİMLER,A1,FILE5
228,rice,рис,İSİMLER,A1,FILE5
229,pasta,паста,İSİMLER,A1,FILE5
230,meat,мясо,İSİMLER,A1,FILE5
231,chicken,курица,İSİMLER,A1,FILE5
232,fish,рыба,İSİMLER,A1,FILE5
233,eat,"есть, кушать",FİİLLER,A1,FILE5
234,like,нравиться,FİİLLER,A1,FILE5
235,love,любить,FİİLLER,A1,FILE5
236,hate,ненавидеть,FİİLLER,A1,FILE5
237,live,жить,FİİLLER,A1,FILE5
238,work,работать,FİİLLER,A1,FILE5
239,study,учиться,FİİLLER,A1,FILE5
240,go,"идти, ехать",FİİLLER,A1,FILE5
241,come,приходить,FİİLLER,A1,FILE5
242,get up,вставать,FİİLLER,A1,FILE5
243,go to bed,ложиться спать,FİİLLER,A1,FILE5
244,start,начинать,FİİLLER,A1,FILE5
245,finish,заканчивать,FİİLLER,A1,FILE5
246,flight,"рейс, полёт",İSİMLER,A1,FILE5
247,plane,самолёт,İSİMLER,A1,FILE5
248,airport,аэропорт,İSİMLER,A1,FILE5
249,travel,путешествовать,FİİLLER,A1,FILE5
250,usually,обычно,ZARFLAR,A1,FILE5
251,always,всегда,ZARFLAR,A1,FILE5
252,never,никогда,ZARFLAR,A1,FILE5
253,sometimes,иногда,ZARFLAR,A1,FILE5
254,often,часто,ZARFLAR,A1,FILE5
255,job,"работа, должность",İSİMLER,A1,FILE6
256,office,офис,İSİMLER,A1,FILE6
257,hospital,больница,İSİMLER,A1,FILE6
258,school,школа,İSİMLER,A1,FILE6
259,university,университет,İSİMLER,A1,FILE6
260,shop,магазин,İSİMLER,A1,FILE6
261,restaurant,ресторан,İSİMLER,A1,FILE6
262,doctor,врач,İSİMLER,A1,FILE6
263,nurse,"медсестра, медбрат",İSİMLER,A1,FILE6
264,waiter,официант,İSİMLER,A1,FILE6
265,chef,шеф-повар,İSİMLER,A1,FILE6
266,driver,водитель,İSİMLER,A1,FILE6
267,pilot,пилот,İSİMLER,A1,FILE6
268,engineer,инженер,İSİMLER,A1,FILE6
269,lawyer,юрист,İSİMLER,A1,FILE6
270,actor,актёр,İSİMLER,A1,FILE6
271,singer,певец,İSİMLER,A1,FILE6
272,journalist,журналист,İSİMLER,A1,FILE6
273,manager,менеджер,İSİMLER,A1,FILE6
274,receptionist,администратор,İSİMLER,A1,FILE6
275,morning,утро,İSİMLER,A1,FILE6
276,afternoon,день (после полудня),İSİMLER,A1,FILE6
277,evening,вечер,İSİMLER,A1,FILE6
278,night,ночь,İSİMLER,A1,FILE6
279,time,время,İSİMLER,A1,FILE6
280,hour,час,İSİMLER,A1,FILE6
281,minute,минута,İSİMLER,A1,FILE6
282,o'clock,часов ровно,DİĞER KELİMELER,A1,FILE6
283,typical,типичный,SIFATLAR,A1,FILE6
284,busy,занятой,SIFATLAR,A1,FILE6
285,tired,усталый,SIFATLAR,A1,FILE6
286,happy,счастливый,SIFATLAR,A1,FILE6
287,sad,грустный,SIFATLAR,A1,FILE6
288,hungry,голодный,SIFATLAR,A1,FILE6
289,thirsty,хочется пить,SIFATLAR,A1,FILE6
290,early,"ранний, рано",SIFATLAR,A1,FILE6
291,late,"поздний, поздно",SIFATLAR,A1,FILE6
292,every day,каждый день,KALIP İFADELER,A1,FILE6
293,at night,ночью,KALIP İFADELER,A1,FILE6
294,in the morning,утром,KALIP İFADELER,A1,FILE6
295,weekend,выходные,İSİMLER,A1,FILE7
296,free time,свободное время,İSİMLER,A1,FILE7
297,hobby,хобби,İSİMLER,A1,FILE7
298,sport,спорт,İSİMLER,A1,FILE7
299,football,футбол,İSİMLER,A1,FILE7
300,tennis,теннис,İSİMLER,A1,FILE7
301,swimming,плавание,İSİMLER,A1,FILE7
302,running,бег,İSİMLER,A1,FILE7
303,music,музыка,İSİMLER,A1,FILE7
304,film,фильм,İSİMLER,A1,FILE7
305,cinema,кинотеатр,İSİMLER,A1,FILE7
306,comedy,комедия,İSİMLER,A1,FILE7
307,drama,драма,İSİMLER,A1,FILE7
308,action film,боевик,İSİMLER,A1,FILE7
309,horror film,фильм ужасов,İSİMLER,A1,FILE7
310,science fiction,научная фантастика,İSİMLER,A1,FILE7
311,play,играть,FİİLLER,A1,FILE7
312,cook,готовить,FİİLLER,A1,FILE7
313,dance,танцевать,FİİLLER,A1,FILE7
314,sing,петь,FİİLLER,A1,FILE7
315,meet,встречать(ся),FİİLLER,A1,FILE7
316,visit,посещать,FİİLLER,A1,FILE7
317,stay,оставаться,FİİLLER,A1,FILE7
318,relax,расслабляться,FİİLLER,A1,FILE7
319,walk,"гулять, ходить пешком",FİİLLER,A1,FILE7
320,drive,водить машину,FİİLLER,A1,FILE7
321,ride,ехать (на велосипеде/лошади),FİİLLER,A1,FILE7
322,month,месяц,İSİMLER,A1,FILE7
323,January,январь,İSİMLER,A1,FILE7
324,February,февраль,İSİMLER,A1,FILE7
325,March,март,İSİMLER,A1,FILE7
326,April,апрель,İSİMLER,A1,FILE7
327,May,май,İSİMLER,A1,FILE7
328,June,июнь,İSİMLER,A1,FILE7
329,July,июль,İSİMLER,A1,FILE7
330,August,август,İSİMLER,A1,FILE7
331,September,сентябрь,İSİMLER,A1,FILE7
332,October,октябрь,İSİMLER,A1,FILE7
333,November,ноябрь,İSİMLER,A1,FILE7
334,December,декабрь,İSİMLER,A1,FILE7
335,date,дата,İSİMLER,A1,FILE7
336,today,сегодня,ZARFLAR,A1,FILE7
337,tomorrow,завтра,ZARFLAR,A1,FILE7
338,yesterday,вчера,ZARFLAR,A1,FILE7
339,can,"мочь, уметь",FİİLLER,A1,FILE8
340,park,парковать; парк,FİİLLER,A1,FILE8
341,swim,плавать,FİİLLER,A1,FILE8
342,ski,кататься на лыжах,FİİLLER,A1,FILE8
343,draw,рисовать,FİİLLER,A1,FILE8
344,paint,"красить, писать красками",FİİLLER,A1,FILE8
345,take photos,фотографировать,FİİLLER,A1,FILE8
346,use,использовать,FİİLLER,A1,FILE8
347,help,помогать,FİİLLER,A1,FILE8
348,wait,ждать,FİİLLER,A1,FILE8
349,sit,сидеть,FİİLLER,A1,FILE8
350,stand,стоять,FİİLLER,A1,FILE8
351,run,бегать,FİİLLER,A1,FILE8
352,jump,прыгать,FİİLLER,A1,FILE8
353,activity,"занятие, активность",İSİMLER,A1,FILE8
354,yoga,йога,İSİMLER,A1,FILE8
355,gym,спортзал,İSİMLER,A1,FILE8
356,bike,велосипед,İSİMLER,A1,FILE8
357,computer,компьютер,İSİMLER,A1,FILE8
358,internet,интернет,İSİMLER,A1,FILE8
359,game,игра,İSİMLER,A1,FILE8
360,cooking,готовка,İSİMLER,A1,FILE8
361,recipe,рецепт,İSİMLER,A1,FILE8
362,kitchen,кухня,İSİMLER,A1,FILE8
363,like doing,любить делать,KALIP İFADELER,A1,FILE8
364,love doing,обожать делать,KALIP İFADELER,A1,FILE8
365,hate doing,ненавидеть делать,KALIP İFADELER,A1,FILE8
366,good at,способный к,KALIP İFADELER,A1,FILE8
367,difficult,трудный,SIFATLAR,A1,FILE8
368,easy,лёгкий,SIFATLAR,A1,FILE8
369,fun,"весёлый, забавный",SIFATLAR,A1,FILE8
370,interesting,интересный,SIFATLAR,A1,FILE8
371,boring,скучный,SIFATLAR,A1,FILE8
372,trip,поездка,İSİMLER,A1,FILE9
373,train,поезд,İSİMLER,A1,FILE9
374,station,"станция, вокзал",İSİMLER,A1,FILE9
375,taxi,такси,İSİMLER,A1,FILE9
376,car park,парковка,İSİMLER,A1,FILE9
377,suitcase,чемодан,İSİMLER,A1,FILE9
378,passport control,паспортный контроль,İSİMLER,A1,FILE9
379,gate,выход на посадку,İSİMLER,A1,FILE9
380,delay,задержка,İSİMLER,A1,FILE9
381,clothes,одежда,İSİMLER,A1,FILE9
382,T-shirt,футболка,İSİMLER,A1,FILE9
383,shirt,рубашка,İSİMLER,A1,FILE9
384,trousers,брюки,İSİMLER,A1,FILE9
385,jeans,джинсы,İSİMLER,A1,FILE9
386,skirt,юбка,İSİMLER,A1,FILE9
387,dress,платье,İSİMLER,A1,FILE9
388,coat,пальто,İSİMLER,A1,FILE9
389,jacket,куртка,İSİMLER,A1,FILE9
390,shoes,"туфли, обувь",İSİMLER,A1,FILE9
391,boots,ботинки,İSİMLER,A1,FILE9
392,socks,носки,İSİMLER,A1,FILE9
393,wear,носить (одежду),FİİLLER,A1,FILE9
394,put on,надевать,FİİLLER,A1,FILE9
395,take off,снимать (одежду); взлетать,FİİLLER,A1,FILE9
396,now,сейчас,ZARFLAR,A1,FILE9
397,at the moment,в данный момент,KALIP İFADELER,A1,FILE9
398,wait for,ждать кого-либо,FİİLLER,A1,FILE9
399,look at,смотреть на,FİİLLER,A1,FILE9
400,talk,разговаривать,FİİLLER,A1,FILE9
401,call,звонить,FİİLLER,A1,FILE9
402,send,отправлять,FİİLLER,A1,FILE9
403,message,сообщение,İSİMLER,A1,FILE9
404,room,комната,İSİMLER,A1,FILE10
405,view,вид,İSİMLER,A1,FILE10
406,hotel room,номер в отеле,İSİMLER,A1,FILE10
407,bathroom,ванная,İSİMLER,A1,FILE10
408,bed,кровать,İSİMLER,A1,FILE10
409,pillow,подушка,İSİMLER,A1,FILE10
410,towel,полотенце,İSİMLER,A1,FILE10
411,shower,душ,İSİMLER,A1,FILE10
412,wifi,вайфай,İSİMLER,A1,FILE10
413,key card,ключ-карта,İSİMLER,A1,FILE10
414,reception,ресепшен,İSİMLER,A1,FILE10
415,there is,есть (ед. ч.),KALIP İFADELER,A1,FILE10
416,there are,есть (мн. ч.),KALIP İFADELER,A1,FILE10
417,some,"несколько, немного",ZAMİRLER,A1,FILE10
418,any,какие-либо,ZAMİRLER,A1,FILE10
419,in,в,EDATLAR / BAĞLAÇLAR,A1,FILE10
420,on,на,EDATLAR / BAĞLAÇLAR,A1,FILE10
421,under,под,EDATLAR / BAĞLAÇLAR,A1,FILE10
422,next to,рядом с,EDATLAR / BAĞLAÇLAR,A1,FILE10
423,between,между,EDATLAR / BAĞLAÇLAR,A1,FILE10
424,behind,"за, позади",EDATLAR / BAĞLAÇLAR,A1,FILE10
425,in front of,перед,EDATLAR / BAĞLAÇLAR,A1,FILE10
426,at,"у, в (точке)",EDATLAR / BAĞLAÇLAR,A1,FILE10
427,was,был (I/he/she/it),DİĞER KELİMELER,A1,FILE10
428,were,был(и) (you/we/they),DİĞER KELİMELER,A1,FILE10
429,last night,прошлой ночью,KALIP İFADELER,A1,FILE10
430,last week,на прошлой неделе,KALIP İFADELER,A1,FILE10
431,where were you,где ты был(а),KALIP İFADELER,A1,FILE10
432,home,дом,İSİMLER,A1,FILE10
433,party,вечеринка,İSİMLER,A1,FILE10
434,concert,концерт,İSİMLER,A1,FILE10
435,life,жизнь,İSİMLER,A1,FILE11
436,new life,новая жизнь,İSİMLER,A1,FILE11
437,move,переезжать,FİİLLER,A1,FILE11
438,arrive,прибывать,FİİLLER,A1,FILE11
439,decide,решать,FİİLLER,A1,FILE11
440,clean,убирать,FİİLLER,A1,FILE11
441,wash,мыть,FİİLLER,A1,FILE11
442,get,"получать, добираться",FİİLLER,A1,FILE11
443,do,делать,FİİLLER,A1,FILE11
444,see,видеть,FİİLLER,A1,FILE11
445,make,"делать, изготавливать",FİİLLER,A1,FILE11
446,take,брать,FİİLLER,A1,FILE11
447,give,давать,FİİLLER,A1,FILE11
448,find,находить,FİİLLER,A1,FILE11
449,think,думать,FİİLLER,A1,FILE11
450,know,знать,FİİLLER,A1,FILE11
451,say,сказать,FİİLLER,A1,FILE11
452,tell,рассказывать,FİİLLER,A1,FILE11
453,leave,"уходить, покидать",FİİLLER,A1,FILE11
454,feel,чувствовать,FİİLLER,A1,FILE11
455,sleep,спать,FİİLLER,A1,FILE11
456,pay,платить,FİİLLER,A1,FILE11
457,lose,терять,FİİLLER,A1,FILE11
458,win,побеждать,FİİLLER,A1,FILE11
459,how was your day,как прошёл день,KALIP İFADELER,A1,FILE11
460,stranger,незнакомец,İSİMLER,A1,FILE12
461,passenger,пассажир,İSİMLER,A1,FILE12
462,ticket inspector,контролёр,İSİMLER,A1,FILE12
463,seat,место (сиденье),İSİMLER,A1,FILE12
464,platform,платформа,İSİMLER,A1,FILE12
465,miss,"пропускать, скучать",FİİLLER,A1,FILE12
466,catch,"успевать на, ловить",FİİLLER,A1,FILE12
467,change,"пересаживаться, менять",FİİLLER,A1,FILE12
468,ask,спрашивать,FİİLLER,A1,FILE12
469,understand,понимать,FİİLLER,A1,FILE12
470,remember,помнить,FİİLLER,A1,FILE12
471,forget,забывать,FİİLLER,A1,FILE12
472,bring,приносить,FİİLLER,A1,FILE12
473,put,класть,FİİLLER,A1,FILE12
474,turn,поворачивать,FİİLLER,A1,FILE12
475,stop,останавливаться,FİİLLER,A1,FILE12
476,begin,начинать,FİİLLER,A1,FILE12
477,become,становиться,FİİLLER,A1,FILE12
478,keep,"хранить, продолжать",FİİLLER,A1,FILE12
479,let,позволять,FİİLLER,A1,FILE12
480,mean,значить,FİİLLER,A1,FILE12
481,show,показывать,FİİLLER,A1,FILE12
482,hear,слышать,FİİLLER,A1,FILE12
483,learn,учить(ся),FİİLLER,A1,FILE12
484,teach,преподавать,FİİLLER,A1,FILE12
485,break,ломать,FİİLLER,A1,FILE12
486,choose,выбирать,FİİLLER,A1,FILE12
487,grow,расти,FİİLLER,A1,FILE12
488,fall,падать,FİİLLER,A1,FILE12
489,hold,держать,FİİLLER,A1,FILE12
490,cut,резать,FİİLLER,A1,FILE12
491,hit,ударять,FİİLLER,A1,FILE12
492,hurt,причинять боль,FİİLLER,A1,FILE12
493,regular verb,правильный глагол,İSİMLER,A1,FILE12
494,irregular verb,неправильный глагол,İSİMLER,A1,FILE12
495,occupation,профессия,İSİMLER,A2,FILE1
496,artist,художник,İSİMLER,A2,FILE1
497,builder,строитель,İSİMLER,A2,FILE1
498,dentist,стоматолог,İSİMLER,A2,FILE1
499,farmer,фермер,İSİMLER,A2,FILE1
500,firefighter,пожарный,İSİMLER,A2,FILE1
501,flight attendant,бортпроводник,İSİMLER,A2,FILE1
502,hairdresser,парикмахер,İSİMLER,A2,FILE1
503,mechanic,механик,İSİMLER,A2,FILE1
504,musician,музыкант,İSİMLER,A2,FILE1
505,photographer,фотограф,İSİMLER,A2,FILE1
506,plumber,сантехник,İSİMLER,A2,FILE1
507,police officer,полицейский,İSİMLER,A2,FILE1
508,politician,политик,İSİMLER,A2,FILE1
509,scientist,учёный,İSİMLER,A2,FILE1
510,soldier,солдат,İSİMLER,A2,FILE1
511,vet,ветеринар,İSİMLER,A2,FILE1
512,writer,писатель,İSİMLER,A2,FILE1
513,retired,на пенсии,SIFATLAR,A2,FILE1
514,unemployed,безработный,SIFATLAR,A2,FILE1
515,self-employed,самозанятый,SIFATLAR,A2,FILE1
516,full-time,полный рабочий день,SIFATLAR,A2,FILE1
517,part-time,неполный рабочий день,SIFATLAR,A2,FILE1
518,salary,зарплата,İSİMLER,A2,FILE1
519,earn,зарабатывать,FİİLLER,A2,FILE1
520,apply,подавать заявление,FİİLLER,A2,FILE1
521,interview,собеседование,İSİMLER,A2,FILE1
522,colleague,коллега,İSİMLER,A2,FILE1
523,boss,начальник,İSİMLER,A2,FILE1
524,customer,клиент,İSİMLER,A2,FILE1
525,uniform,форма,İSİMLER,A2,FILE1
526,shift,смена,İSİMLER,A2,FILE1
527,overtime,сверхурочная работа,İSİMLER,A2,FILE1
528,meeting,"встреча, совещание",İSİMLER,A2,FILE1
529,email,электронная почта,İSİMLER,A2,FILE1
530,document,документ,İSİMLER,A2,FILE1
531,printer,принтер,İSİMLER,A2,FILE1
532,password,пароль,İSİMLER,A2,FILE1
533,appearance,внешность,İSİMLER,A2,FILE2
534,tall,высокий,SIFATLAR,A2,FILE2
535,short,"низкий, короткий",SIFATLAR,A2,FILE2
536,slim,стройный,SIFATLAR,A2,FILE2
537,overweight,полный,SIFATLAR,A2,FILE2
538,thin,худой,SIFATLAR,A2,FILE2
539,medium height,среднего роста,KALIP İFADELER,A2,FILE2
540,long hair,длинные волосы,İSİMLER,A2,FILE2
541,short hair,короткие волосы,İSİMLER,A2,FILE2
542,straight hair,прямые волосы,İSİMLER,A2,FILE2
543,curly hair,кудрявые волосы,İSİMLER,A2,FILE2
544,beard,борода,İSİMLER,A2,FILE2
545,moustache,усы,İSİMLER,A2,FILE2
546,pretty,симпатичная,SIFATLAR,A2,FILE2
547,handsome,красивый (о мужчине),SIFATLAR,A2,FILE2
